LSOA code and name,Residential useful heat demand (GWh yr-1),Heat-demand density (GWh km-2 yr-1),Candidate BHE count,Representative GSHP useful heat potential (GWh yr-1),Locally matched GSHP useful heat (GWh yr-1),Local heat-demand coverage (%),Unmet residential heat demand (GWh yr-1),Surplus GSHP potential (GWh yr-1)
E01015176 Plymouth 021F,3.51,11.65,55,1.59,1.59,45.3,1.92,0.0
E01015089 Plymouth 007E,5.21,10.63,85,2.33,2.33,44.6,2.89,0.0
E01015133 Plymouth 030E,5.88,10.92,89,2.61,2.61,44.4,3.27,0.0
E01015056 Plymouth 021B,4.65,11.82,70,2.06,2.06,44.3,2.59,0.0
E01015128 Plymouth 032A,5.04,11.63,77,2.23,2.23,44.3,2.81,0.0
E01015142 Plymouth 009B,4.09,10.88,67,1.81,1.81,44.2,2.28,0.0
E01015123 Plymouth 015C,5.94,11.55,90,2.6,2.6,43.9,3.33,0.0
E01015109 Plymouth 022B,3.78,11.9,57,1.62,1.62,42.9,2.16,0.0
E01015087 Plymouth 006B,3.69,11.07,59,1.57,1.57,42.7,2.11,0.0
E01015064 Plymouth 008B,5.98,11.22,95,2.55,2.55,42.6,3.43,0.0
E01015161 Plymouth 002C,3.81,12.85,56,1.62,1.62,42.5,2.19,0.0
E01015067 Plymouth 012E,4.89,11.8,74,2.08,2.08,42.5,2.81,0.0
E01015086 Plymouth 007D,3.63,11.51,56,1.54,1.54,42.4,2.09,0.0
E01015071 Plymouth 008D,5.47,11.32,85,2.31,2.31,42.2,3.16,0.0
E01015127 Plymouth 030B,4.69,12.39,69,1.96,1.96,41.9,2.72,0.0
E01015140 Plymouth 032E,5.31,12.53,78,2.18,2.18,41.0,3.13,0.0
E01034158 Plymouth 031H,3.55,13.36,46,1.41,1.41,39.7,2.14,0.0
E01015070 Plymouth 007B,7.19,12.47,103,2.82,2.82,39.2,4.37,0.0
E01015116 Plymouth 022D,4.17,13.79,56,1.61,1.61,38.7,2.55,0.0
E01015107 Plymouth 018A,4.29,13.32,58,1.66,1.66,38.6,2.63,0.0
E01015028 Plymouth 003C,3.44,12.66,48,1.32,1.32,38.2,2.13,0.0
E01015040 Plymouth 014B,3.65,12.78,51,1.39,1.39,38.0,2.26,0.0
E01015108 Plymouth 022A,5.06,13.78,67,1.91,1.91,37.8,3.15,0.0
E01034162 Plymouth 034E,5.06,15.69,59,1.84,1.84,36.5,3.21,0.0
E01015156 Plymouth 027E,8.14,14.78,97,2.89,2.89,35.5,5.25,0.0
E01015078 Plymouth 013C,3.12,15.06,40,1.1,1.1,35.2,2.02,0.0
E01015110 Plymouth 018B,4.29,14.46,52,1.5,1.5,35.1,2.78,0.0
E01015081 Plymouth 007C,3.73,13.12,48,1.31,1.31,35.0,2.42,0.0
E01015143 Plymouth 009C,3.44,14.08,44,1.2,1.2,34.9,2.24,0.0
E01034159 Plymouth 034B,4.02,15.58,46,1.4,1.4,34.8,2.62,0.0
E01015126 Plymouth 030A,5.88,14.15,76,2.03,2.03,34.5,3.85,0.0
E01034160 Plymouth 034C,5.85,16.82,66,1.97,1.97,33.7,3.88,0.0
